item,tier,pop_decile,train_pop,exposures,hits20_noobj_s0,hits20_noobj_s1,hits20_noobj_s2,hits20_control_s0,hits20_control_s1,hits20_control_s2,hits20_shufobj_s0,hits20_shufobj_s1,hits20_shufobj_s2
9198,near,2,3,2,0,0,0,0,0,0,0,0,0
9199,exact,2,3,1,0,0,0,0,0,0,0,0,0
9200,far,1,2,5,0,0,0,0,0,0,0,0,0
9201,near,3,4,1,0,0,0,0,0,0,0,0,0
9202,exact,2,3,1,0,0,0,0,0,0,0,0,0
9203,near,8,17,15,1,1,1,2,1,1,0,1,1
9204,exact,6,8,5,0,0,0,0,0,0,0,0,0
9205,near,7,12,6,0,0,0,0,0,0,0,0,0
9206,exact,2,3,1,0,0,0,0,0,0,0,0,0
9207,exact,5,5,4,0,0,0,0,0,0,0,0,0
9208,exact,9,30,14,0,0,0,0,0,0,0,0,0
9209,exact,5,6,3,1,0,0,0,0,0,0,0,0
9211,exact,2,3,2,0,0,0,0,0,0,0,0,0
9212,near,2,3,3,0,0,0,0,0,0,0,0,0
9215,exact,1,2,1,0,0,0,0,0,0,0,0,0
9217,near,2,3,4,0,0,0,0,0,0,0,0,0
9218,exact,1,2,3,0,0,0,0,0,0,0,0,0
9219,exact,9,79,37,3,0,3,4,2,3,3,1,1
9220,exact,9,92,15,5,4,2,4,6,1,4,8,2
9221,near,9,59,29,2,3,1,1,0,1,1,1,1
9222,exact,9,31,9,0,0,0,0,0,0,0,0,0
9223,near,2,3,2,0,0,0,0,0,0,0,0,0
9224,exact,9,68,18,1,0,0,0,0,0,0,1,0
9225,exact,1,2,1,0,0,0,0,0,0,0,0,0
9226,exact,8,14,5,0,0,0,0,0,0,0,0,0
9227,near,8,14,7,0,0,1,0,0,0,0,0,1
9228,near,5,6,2,0,0,0,0,0,0,0,0,0
9229,exact,6,7,2,0,0,0,0,0,0,0,0,0
9230,near,7,10,4,0,0,0,0,0,0,0,0,0
9231,near,7,9,5,0,0,0,0,0,0,0,0,0
9232,near,8,14,5,0,0,0,0,0,0,0,0,0
9233,near,3,4,2,0,0,0,0,0,0,0,0,0
9235,exact,3,4,1,0,0,0,0,0,0,0,0,0
9236,far,1,2,4,0,0,0,0,0,0,0,0,0
9237,near,1,2,3,0,0,0,0,0,0,0,0,0
9238,near,3,4,3,0,0,0,0,0,0,0,0,0
9239,exact,2,3,1,0,0,0,0,0,0,0,0,0
9240,exact,5,6,2,0,0,0,0,0,0,0,0,0
9241,near,2,3,1,0,0,0,0,0,0,0,0,0
9243,exact,9,32,8,0,0,0,0,0,0,0,0,0
9244,far,8,17,5,0,0,0,0,0,0,0,0,0
9245,near,2,3,2,0,0,0,0,0,0,0,0,0
9246,far,8,13,3,1,0,2,1,1,1,1,1,3
9247,near,3,4,3,0,0,0,0,0,0,0,0,0
9248,far,9,23,4,0,0,0,0,0,0,0,0,0
9249,exact,5,5,3,0,0,0,0,0,0,0,0,0
9250,exact,1,2,5,0,0,0,0,0,0,0,0,0
9251,near,6,8,5,0,0,0,0,0,0,0,0,0
9252,exact,5,6,1,0,0,0,0,0,0,0,0,0
9253,far,3,4,1,0,0,0,0,0,0,0,0,0
9254,exact,0,0,2,0,0,0,0,0,0,0,0,0
9255,far,7,9,2,0,0,0,0,0,0,0,0,0
9257,exact,6,8,7,1,1,1,1,1,1,1,1,1
9258,far,8,15,1,0,0,0,0,0,0,0,0,0
