arm,epoch,n_seeds,loss_mean,loss_std
LATTICE + object graph,154,3,0.50368,0.00704
LATTICE + object graph,155,3,0.49836,0.00444
LATTICE + object graph,156,3,0.48682,0.01091
LATTICE + object graph,157,3,0.48914,0.00297
LATTICE + object graph,158,3,0.48681,0.01455
LATTICE + object graph,159,3,0.45845,0.00094
LATTICE + object graph,160,3,0.48808,0.01289
LATTICE + object graph,161,3,0.45333,0.01618
LATTICE + object graph,162,3,0.44597,0.01612
LATTICE + object graph,163,3,0.4375,0.00423
LATTICE + object graph,164,3,0.44555,0.00652
LATTICE + object graph,165,3,0.43011,0.01283
LATTICE + object graph,166,3,0.4318,0.0141
LATTICE + object graph,167,3,0.42593,0.00439
LATTICE + object graph,168,3,0.40853,0.01171
LATTICE + object graph,169,3,0.41381,0.01105
LATTICE + object graph,170,3,0.40001,0.01048
