arm,seed,epoch,loss,bpr_loss,emb_loss,epoch_seconds
LATTICE (image+text),1,0,103.04945,103.04775,0.0017,3.3
LATTICE (image+text),1,1,100.82025,100.81848,0.00178,3.1
LATTICE (image+text),1,2,98.25555,98.25367,0.00188,3.1
LATTICE (image+text),1,3,95.39405,95.39204,0.00202,3.1
LATTICE (image+text),1,4,92.161,92.15881,0.00219,3.1
LATTICE (image+text),1,5,88.62599,88.62359,0.00239,3.1
LATTICE (image+text),1,6,84.76405,84.7614,0.00265,3.1
LATTICE (image+text),1,7,80.76366,80.76072,0.00293,3.1
LATTICE (image+text),1,8,76.55055,76.54729,0.00326,3.1
LATTICE (image+text),1,9,72.38646,72.38285,0.00361,3.1
LATTICE (image+text),1,10,68.30423,68.30025,0.00398,3.1
LATTICE (image+text),1,11,64.25874,64.25435,0.00438,3.1
LATTICE (image+text),1,12,60.49832,60.49353,0.00479,3.1
LATTICE (image+text),1,13,56.62364,56.61843,0.00521,3.1
LATTICE (image+text),1,14,53.30957,53.30393,0.00563,3.1
LATTICE (image+text),1,15,49.96284,49.95677,0.00607,3.1
LATTICE (image+text),1,16,47.01974,47.01324,0.0065,3.1
LATTICE (image+text),1,17,44.10607,44.09912,0.00695,3.1
LATTICE (image+text),1,18,41.5079,41.50054,0.00736,3.1
LATTICE (image+text),1,19,39.03039,39.02261,0.00778,3.1
LATTICE (image+text),1,20,36.69992,36.69171,0.00821,3.1
LATTICE (image+text),1,21,34.49394,34.48531,0.00862,3.1
LATTICE (image+text),1,22,32.38318,32.3741,0.00908,3.1
LATTICE (image+text),1,23,30.50901,30.49952,0.00949,3.1
LATTICE (image+text),1,24,28.88727,28.87739,0.00988,3.1
LATTICE (image+text),1,25,27.25505,27.24477,0.01028,3.1
LATTICE (image+text),1,26,25.69686,25.68618,0.01068,3.2
LATTICE (image+text),1,27,24.35549,24.34441,0.01108,3.1
LATTICE (image+text),1,28,23.03619,23.02474,0.01145,3.1
LATTICE (image+text),1,29,21.70979,21.69797,0.01182,3.1
LATTICE (image+text),1,30,20.47814,20.46595,0.01219,3.1
LATTICE (image+text),1,31,19.47939,19.46681,0.01258,3.1
LATTICE (image+text),1,32,18.44856,18.43562,0.01294,3.1
LATTICE (image+text),1,33,17.52444,17.51117,0.01327,3.1
LATTICE (image+text),1,34,16.63814,16.62449,0.01366,3.1
LATTICE (image+text),1,35,15.81141,15.79747,0.01395,3.1
LATTICE (image+text),1,36,14.98484,14.97052,0.01431,3.1
LATTICE (image+text),1,37,14.32603,14.31142,0.0146,3.1
LATTICE (image+text),1,38,13.63488,13.61994,0.01495,3.1
LATTICE (image+text),1,39,12.82398,12.80868,0.01531,3.1
LATTICE (image+text),1,40,12.27047,12.25487,0.0156,3.1
LATTICE (image+text),1,41,11.71313,11.69726,0.01587,3.2
LATTICE (image+text),1,42,11.19513,11.1789,0.01623,3.1
LATTICE (image+text),1,43,10.78185,10.76537,0.01648,3.1
LATTICE (image+text),1,44,10.21139,10.19461,0.01677,3.1
LATTICE (image+text),1,45,9.74514,9.72808,0.01706,3.1
LATTICE (image+text),1,46,9.3494,9.33204,0.01735,3.1
LATTICE (image+text),1,47,9.02732,9.00971,0.01761,3.1
LATTICE (image+text),1,48,8.52847,8.51059,0.01788,3.1
LATTICE (image+text),1,49,8.21353,8.19535,0.01818,3.1
LATTICE (image+text),1,50,7.83723,7.8188,0.01843,3.1
LATTICE (image+text),1,51,7.55746,7.5388,0.01866,3.1
LATTICE (image+text),1,52,7.16008,7.14109,0.01899,3.1
LATTICE (image+text),1,53,6.85247,6.8333,0.01917,3.1
LATTICE (image+text),1,54,6.62529,6.60582,0.01947,3.1
LATTICE (image+text),1,55,6.37485,6.35519,0.01966,3.1
LATTICE (image+text),1,56,6.0591,6.03919,0.0199,3.1
LATTICE (image+text),1,57,5.83947,5.81926,0.02021,3.1
LATTICE (image+text),1,58,5.63805,5.61759,0.02046,3.1
LATTICE (image+text),1,59,5.39821,5.37762,0.02059,3.1
LATTICE (image+text),1,60,5.14903,5.12815,0.02088,3.2
LATTICE (image+text),1,61,5.02242,5.00132,0.02111,3.1
LATTICE (image+text),1,62,4.82213,4.80082,0.02131,3.1
LATTICE (image+text),1,63,4.63987,4.61832,0.02155,3.1
LATTICE (image+text),1,64,4.48981,4.46804,0.02177,3.1
LATTICE (image+text),1,65,4.33448,4.31251,0.02196,3.1
LATTICE (image+text),1,66,4.16584,4.14372,0.02212,3.1
LATTICE (image+text),1,67,4.02418,4.00179,0.02239,3.1
LATTICE (image+text),1,68,3.87816,3.85557,0.02258,3.1
LATTICE (image+text),1,69,3.68467,3.6619,0.02277,3.1
LATTICE (image+text),1,70,3.62546,3.60243,0.02303,3.1
LATTICE (image+text),1,71,3.47375,3.45059,0.02316,3.1
LATTICE (image+text),1,72,3.43475,3.41143,0.02332,3.1
LATTICE (image+text),1,73,3.23476,3.21123,0.02353,3.1
LATTICE (image+text),1,74,3.14166,3.11792,0.02374,3.1
LATTICE (image+text),1,75,3.05653,3.0326,0.02392,3.1
LATTICE (image+text),1,76,2.99303,2.96892,0.02411,3.1
LATTICE (image+text),1,77,2.86344,2.83914,0.0243,3.1
LATTICE (image+text),1,78,2.7522,2.7277,0.02449,3.1
LATTICE (image+text),1,79,2.69134,2.66666,0.02468,3.1
LATTICE (image+text),1,80,2.55751,2.53265,0.02486,3.1
LATTICE (image+text),1,81,2.47707,2.45203,0.02503,3.1
LATTICE (image+text),1,82,2.42305,2.39786,0.02519,3.1
LATTICE (image+text),1,83,2.3084,2.28305,0.02534,3.1
LATTICE (image+text),1,84,2.30361,2.2781,0.02551,3.1
LATTICE (image+text),1,85,2.22862,2.20298,0.02565,3.1
LATTICE (image+text),1,86,2.15019,2.12439,0.0258,3.1
LATTICE (image+text),1,87,2.11024,2.08423,0.02602,3.1
LATTICE (image+text),1,88,2.0392,2.01308,0.02612,3.1
LATTICE (image+text),1,89,1.98323,1.95688,0.02635,3.1
LATTICE (image+text),1,90,1.92492,1.89842,0.0265,3.1
LATTICE (image+text),1,91,1.8492,1.8225,0.02671,3.1
LATTICE (image+text),1,92,1.78881,1.76201,0.0268,3.1
LATTICE (image+text),1,93,1.78119,1.75428,0.02691,3.1
LATTICE (image+text),1,94,1.74737,1.72031,0.02706,3.1
LATTICE (image+text),1,95,1.69149,1.66423,0.02726,3.1
LATTICE (image+text),1,96,1.60368,1.57629,0.02739,3.1
LATTICE (image+text),1,97,1.60665,1.57913,0.02752,3.1
LATTICE (image+text),1,98,1.53915,1.51147,0.02768,3.1
LATTICE (image+text),1,99,1.49298,1.46514,0.02784,3.1
LATTICE (image+text),1,100,1.49024,1.46231,0.02793,3.1
LATTICE (image+text),1,101,1.42826,1.40014,0.02812,3.2
LATTICE (image+text),1,102,1.40852,1.38027,0.02825,3.1
LATTICE (image+text),1,103,1.38383,1.35543,0.0284,3.1
LATTICE (image+text),1,104,1.34557,1.31708,0.0285,3.1
LATTICE (image+text),1,105,1.29133,1.26267,0.02865,3.1
LATTICE (image+text),1,106,1.23974,1.21094,0.0288,3.1
LATTICE (image+text),1,107,1.24426,1.21532,0.02893,3.1
LATTICE (image+text),1,108,1.18616,1.15709,0.02907,3.1
LATTICE (image+text),1,109,1.19508,1.16589,0.02919,3.1
LATTICE (image+text),1,110,1.14694,1.11765,0.02929,3.1
LATTICE (image+text),1,111,1.12743,1.09798,0.02945,3.1
LATTICE (image+text),1,112,1.08345,1.05387,0.02958,3.1
LATTICE (image+text),1,113,1.09212,1.06244,0.02969,3.1
LATTICE (image+text),1,114,1.03647,1.00666,0.02981,3.1
LATTICE (image+text),1,115,1.01469,0.98478,0.02992,3.1
LATTICE (image+text),1,116,1.02613,0.99606,0.03008,3.1
LATTICE (image+text),1,117,0.98431,0.95413,0.03018,3.1
LATTICE (image+text),1,118,0.93748,0.9072,0.03028,3.1
LATTICE (image+text),1,119,0.94033,0.90989,0.03045,3.1
LATTICE (image+text),1,120,0.93835,0.90785,0.0305,3.1
LATTICE (image+text),1,121,0.91568,0.88502,0.03066,3.1
LATTICE (image+text),1,122,0.87439,0.84361,0.03078,3.1
LATTICE (image+text),1,123,0.88208,0.85119,0.03088,3.1
LATTICE (image+text),1,124,0.84148,0.81054,0.03094,3.1
LATTICE (image+text),1,125,0.82,0.78891,0.03109,3.1
LATTICE (image+text),1,126,0.79877,0.76757,0.0312,3.1
LATTICE (image+text),1,127,0.77336,0.74202,0.03134,3.2
LATTICE (image+text),1,128,0.77433,0.74287,0.03146,3.1
LATTICE (image+text),1,129,0.76794,0.73634,0.03159,3.1
LATTICE (image+text),1,130,0.769,0.73736,0.03164,3.1
LATTICE (image+text),1,131,0.74081,0.70907,0.03174,3.1
LATTICE (image+text),1,132,0.73825,0.70636,0.03189,3.1
LATTICE (image+text),1,133,0.72452,0.69255,0.03197,3.1
LATTICE (image+text),1,134,0.67837,0.64632,0.03205,3.1
LATTICE (image+text),1,135,0.66161,0.62947,0.03214,3.1
LATTICE (image+text),1,136,0.68312,0.65087,0.03225,3.1
